Region;amount;age
01 Mitte;36.230;10
02 Friedrichshain-Kreuzberg;28.125;10
03 Pankow;44.127;10
04 Charlottenburg-Wilmersdorf;26.234;10
05 Spandau;24.996;10
06 Steglitz-Zehlendorf;26.855;10
07 Tempelhof-Schöneberg;31.745;10
08 Neukölln;31.993;10
09 Treptow-Köpenick;26.433;10
10 Marzahn-Hellersdorf;28.114;10
11 Lichtenberg;30.767;10
12 Reinickendorf;25.808;10
01 Mitte;29.741;20
02 Friedrichshain-Kreuzberg;20.688;20
03 Pankow;34.278;20
04 Charlottenburg-Wilmersdorf;23.973;20
05 Spandau;23.051;20
06 Steglitz-Zehlendorf;27.471;20
07 Tempelhof-Schöneberg;28.196;20
08 Neukölln;27.405;20
09 Treptow-Köpenick;20.719;20
10 Marzahn-Hellersdorf;23.635;20
11 Lichtenberg;22.588;20
12 Reinickendorf;24.566;20
01 Mitte;72.465;30
02 Friedrichshain-Kreuzberg;47.011;30
03 Pankow;45.701;30
04 Charlottenburg-Wilmersdorf;44.965;30
05 Spandau;30.111;30
06 Steglitz-Zehlendorf;33.880;30
07 Tempelhof-Schöneberg;44.718;30
08 Neukölln;46.192;30
09 Treptow-Köpenick;30.297;30
10 Marzahn-Hellersdorf;26.522;30
11 Lichtenberg;38.000;30
12 Reinickendorf;31.562;30
01 Mitte;81.469;40
02 Friedrichshain-Kreuzberg;72.535;40
03 Pankow;79.989;40
04 Charlottenburg-Wilmersdorf;51.136;40
05 Spandau;33.516;40
06 Steglitz-Zehlendorf;37.076;40
07 Tempelhof-Schöneberg;53.504;40
08 Neukölln;63.186;40
09 Treptow-Köpenick;45.989;40
10 Marzahn-Hellersdorf;42.557;40
11 Lichtenberg;55.814;40
12 Reinickendorf;34.408;40
01 Mitte;51.460;50
02 Friedrichshain-Kreuzberg;45.031;50
03 Pankow;65.658;50
04 Charlottenburg-Wilmersdorf;43.026;50
05 Spandau;28.848;50
06 Steglitz-Zehlendorf;36.782;50
07 Tempelhof-Schöneberg;43.334;50
08 Neukölln;41.616;50
09 Treptow-Köpenick;33.479;50
10 Marzahn-Hellersdorf;29.882;50
11 Lichtenberg;34.683;50
12 Reinickendorf;30.450;50
01 Mitte;47.974;60
02 Friedrichshain-Kreuzberg;35.685;60
03 Pankow;60.245;60
04 Charlottenburg-Wilmersdorf;52.168;60
05 Spandau;36.691;60
06 Steglitz-Zehlendorf;49.089;60
07 Tempelhof-Schöneberg;54.115;60
08 Neukölln;44.579;60
09 Treptow-Köpenick;41.530;60
10 Marzahn-Hellersdorf;42.159;60
11 Lichtenberg;38.135;60
12 Reinickendorf;40.920;60
01 Mitte;31.088;70
02 Friedrichshain-Kreuzberg;20.823;70
03 Pankow;33.490;70
04 Charlottenburg-Wilmersdorf;42.514;70
05 Spandau;27.739;70
06 Steglitz-Zehlendorf;37.568;70
07 Tempelhof-Schöneberg;40.840;70
08 Neukölln;32.104;70
09 Treptow-Köpenick;28.604;70
10 Marzahn-Hellersdorf;40.199;70
11 Lichtenberg;31.593;70
12 Reinickendorf;31.143;70
01 Mitte;21.558;80
02 Friedrichshain-Kreuzberg;12.501;80
03 Pankow;25.375;80
04 Charlottenburg-Wilmersdorf;37.257;80
05 Spandau;24.180;80
06 Steglitz-Zehlendorf;36.750;80
07 Tempelhof-Schöneberg;33.643;80
08 Neukölln;26.543;80
09 Treptow-Köpenick;23.985;80
10 Marzahn-Hellersdorf;22.944;80
11 Lichtenberg;24.638;80
12 Reinickendorf;28.915;80
01 Mitte;11.940;90
02 Friedrichshain-Kreuzberg;6.761;90
03 Pankow;17.696;90
04 Charlottenburg-Wilmersdorf;18.296;90
05 Spandau;13.849;90
06 Steglitz-Zehlendorf;20.448;90
07 Tempelhof-Schöneberg;17.649;90
08 Neukölln;14.284;90
09 Treptow-Köpenick;19.704;90
10 Marzahn-Hellersdorf;12.089;90
11 Lichtenberg;15.597;90
12 Reinickendorf;16.144;90
01 Mitte;1.823;100
02 Friedrichshain-Kreuzberg;1.226;100
03 Pankow;2.776;100
04 Charlottenburg-Wilmersdorf;4.023;100
05 Spandau;2.216;100
06 Steglitz-Zehlendorf;4.152;100
07 Tempelhof-Schöneberg;3.240;100
08 Neukölln;2.015;100
09 Treptow-Köpenick;2.949;100
10 Marzahn-Hellersdorf;1.866;100
11 Lichtenberg;2.386;100
12 Reinickendorf;2.492;100
